NF;Data_Pedido;Data_Entrega_Prevista;Data_Entrega_Real;Prazo_contratado;Qtd_Pedida;Qtd_Entregue;Falha_de_entrega;Valor_do_pedido;Custo_Frete_KM;primeiro_sucesso_entrega;seguN_sucesso_entrega;Tentativas_de_entrega;Motivo_Devolucao;Ocorrencia;Produto_controlado;ID_Driver;Modelo;Modal;Eixos;Cubagem_(m3);Capacidade_(ton);Frete;Pedagio_(R$/km);TDE_(Taxa_de_Descarga);TAC_(Carga_Perigosa)_(Frete*dec);GRIS_(Gerenciamento_de_Risco:_Valor_da_carga*dec);Hora_Parada;Ad_Valorem_(valor_da_carga*dec);Coleta/Entrega_Urbana;Transportadora;Origem-Cidade;Origem-UF;Destino-Cidade;Destino-UF;KM;TEMPO_DE_IDA_(h);TEMPO_DE_VOLTA_(h);TEMPO_NO_CD_(h)
5142;20/01/2024;22/01/2024;22/01/2024;2;4;4;0;3301928;29352;Y;N;0;;N;Y;DR90640;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP;Sorocaba;SP;3669;60.4;51.2;6.9
1849;03/01/2024;10/01/2024;10/01/2024;7;3;3;0;4100545;10788;Y;N;0;;N;N;DR90584;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;ExpressCargo;Manaus;AM;Juiz de Fora;MG;1798;22.6;22.8;7.6
5777;17/01/2024;20/01/2024;20/01/2024;3;10;10;0;575741;5580;Y;N;0;;N;N;DR90596;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Log Elite;Campinas;SP;Joinville;SC;1116;17.1;17.2;5.5
9913;09/01/2024;15/01/2024;15/01/2024;6;8;8;0;447585;3857,1;Y;N;0;;N;Y;DR90624;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP; Marilia;SP;897;14.2;12.9;2.6
1250;17/01/2024;19/01/2024;19/01/2024;2;5;5;0;524685;9472,5;Y;N;0;;N;Y;DR90638;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;RodaFirme Transportes;Manaus;AM;Teresina;PI;3789;59.7;60.0;2.7
5318;31/01/2024;02/02/2024;07/02/2024;2;9;6;3;3619236;7232;N;Y;1;Pedido incorreto;Y;Y;DR90630;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP;Joao Pessoa;PB;904;12.4;12.2;7.4
5425;09/01/2024;16/01/2024;16/01/2024;7;3;3;0;3256345;5232;Y;N;0;;N;N;DR90602;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Log Elite;Campinas;SP;Juiz de Fora;MG;872;11.5;13.5;3.8
7713;25/01/2024;27/01/2024;28/01/2024;2;9;9;0;928124;8210;N;Y;1;;N;N;DR90636;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;RodaFirme Transportes;Manaus;AM;Juiz de Fora;MG;1642;27.0;25.9;4.3
8381;26/01/2024;01/02/2024;01/02/2024;6;9;9;0;609443;11356,3;Y;N;0;;N;Y;DR90610;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP;Piracicaba;SP;2641;42.9;33.7;4.9
7986;31/01/2024;02/02/2024;02/02/2024;2;8;8;0;488795;6335;Y;N;0;;N;Y;DR90604;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;ExpressCargo;Campinas;SP;Brasilia;DF;2534;34.1;32.9;3.0
5848;31/01/2024;07/02/2024;08/02/2024;7;4;4;0;4912496;22536;N;Y;1;;N;Y;DR90608;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP;Campo Grande;MS;2817;36.0;40.0;4.7
1548;11/01/2024;16/01/2024;17/01/2024;5;9;3;6;3679911;4896;N;Y;1;Produto danificado;Y;N;DR90594;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Log Elite;Campinas;SP;Goiania;GO;816;11.4;13.2;3.8
2186;04/01/2024;10/01/2024;10/01/2024;6;10;10;0;398593;8575;Y;N;0;;N;N;DR90628;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Log Elite;Campinas;SP;Londrina;PR;1715;23.8;22.7;7.2
4284;25/01/2024;27/01/2024;29/01/2024;2;10;3;7;272598;5581,4;N;Y;2;Produto danificado;Y;Y;DR90618;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Cargas Bahia;Salvador;BA;Belem;PA;1298;20.4;16.9;5.5
1629;25/01/2024;29/01/2024;30/01/2024;4;6;6;0;890036;6975;N;Y;1;;N;Y;DR90626;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;Log Elite;Campinas;SP;Londrina;PR;2790;41.6;36.3;7.5
4131;13/01/2024;20/01/2024;25/01/2024;7;5;5;0;4679385;5320;N;Y;2;;N;Y;DR90598;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;RodaFirme Transportes;Manaus;AM;Rio de Janeiro;RJ;665;8.6;10.6;7.1
9262;06/01/2024;09/01/2024;10/01/2024;3;3;2;1;2206143;5592;N;Y;1;Pedido incorreto;Y;N;DR90592;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Log Elite;Campinas;SP;Londrina;PR;932;15.3;12.3;3.1
1934;30/01/2024;03/02/2024;03/02/2024;4;6;6;0;559759;9580;Y;N;0;;N;N;DR90586;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Log Elite;Campinas;SP;Brasilia;DF;1916;31.3;24.1;6.1
2358;23/01/2024;29/01/2024;29/01/2024;6;4;4;0;703155;10866,1;Y;N;0;;N;Y;DR90614;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP;Santa Maria;RS;2527;34.1;32.0;7.0
5567;18/01/2024;24/01/2024;26/01/2024;6;5;2;3;398395;8135;N;Y;1;Endereco errado;Y;Y;DR45312;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;ExpressCargo;Campinas;SP;Pelotas;RS;3254;40.7;42.1;7.1
6605;11/01/2024;18/01/2024;18/01/2024;7;1;1;0;2200861;16584;Y;N;0;;N;Y;DR45297;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP;Joinville;SC;2073;28.2;33.9;4.6
2487;22/01/2024;27/01/2024;27/01/2024;5;6;6;0;4388028;15492;Y;N;0;;N;N;DR45305;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Log Elite;Campinas;SP;Ribeirao Preto;SP;2582;37.2;34.4;5.5
5810;08/01/2024;11/01/2024;11/01/2024;3;7;7;0;807219;8385;Y;N;0;;N;N;DR45308;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;RodaFirme Transportes;Manaus;AM;Bauru;SP;1677;26.3;24.1;7.5
5274;31/01/2024;07/02/2024;07/02/2024;7;2;2;0;258519;5039,6;Y;N;0;;N;Y;DR45319;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP;Niteroi;RJ;1172;16.6;14.9;2.8
5896;12/01/2024;17/01/2024;20/01/2024;5;7;6;1;832165;457,5;N;Y;1;Endereco errado;Y;Y;DR45323;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;Log Elite;Campinas;SP;Natal;RN;183;2.5;2.7;5.4
2562;05/01/2024;07/01/2024;09/01/2024;2;10;9;1;4043808;20960;N;Y;1;Cliente ausente;Y;Y;DR45318;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP;Recife;PE;2620;43.2;35.6;6.2
9447;15/01/2024;22/01/2024;22/01/2024;7;9;9;0;2731392;13470;Y;N;0;;N;N;DR45324;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Cargas Bahia;Salvador;BA;Joao Pessoa;PB;2245;30.2;33.3;7.7
2547;17/01/2024;20/01/2024;21/01/2024;3;4;4;0;956023;17320;N;Y;1;;N;N;DR45310;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Log Elite;Campinas;SP;Vitoria;ES;3464;53.0;52.4;5.1
3858;03/01/2024;05/01/2024;05/01/2024;2;10;10;0;377756;15613,3;Y;N;0;;N;Y;DR45313;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP;Vitoria;ES;3631;50.2;49.1;5.0
4214;11/01/2024;15/01/2024;15/01/2024;4;9;9;0;454044;5202,5;Y;N;0;;N;Y;DR45296;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;Log Elite;Campinas;SP;Cuiaba;MT;2081;34.7;30.7;2.5
6576;02/01/2024;06/01/2024;06/01/2024;4;1;1;0;2415639;19480;Y;N;0;;N;Y;DR45302;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP;Vitoria;ES;2435;33.1;35.5;5.0
4355;17/01/2024;22/01/2024;23/01/2024;5;5;4;1;3856389;750;N;Y;1;Endereco errado;Y;N;DR45304;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;RodaFirme Transportes;Manaus;AM;Santos;SP;125;1.9;1.9;7.4
5025;12/01/2024;17/01/2024;17/01/2024;5;8;8;0;260605;18705;Y;N;0;;N;N;DR45306;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Log Elite;Campinas;SP;Brasilia;DF;3741;59.2;47.6;7.8
5515;15/01/2024;21/01/2024;23/01/2024;6;1;1;0;495296;3388,4;N;Y;1;;N;Y;DR45299;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP;Goiania;GO;788;10.0;11.1;4.4
5021;16/01/2024;21/01/2024;21/01/2024;5;5;5;0;923910;1750;Y;N;0;;N;Y;DR45316;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;Log Elite;Campinas;SP;Florianopolis;SC;700;9.0;9.6;6.7
3655;22/01/2024;24/01/2024;24/01/2024;2;10;10;0;2257086;25032;Y;N;0;;N;Y;DR45311;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP;Natal;RN;3129;41.2;43.3;7.7
4611;03/01/2024;06/01/2024;06/01/2024;3;4;4;0;2602370;14172;Y;N;0;;N;N;DR45315;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Log Elite;Campinas;SP;Santos;SP;2362;37.4;31.4;7.6
4154;13/01/2024;19/01/2024;24/01/2024;6;2;2;0;455882;11295;N;Y;1;;N;N;DR45301;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;RodaFirme Transportes;Manaus;AM;Ponta Grossa;PR;2259;31.6;29.5;7.6
3622;25/01/2024;31/01/2024;05/02/2024;6;3;1;2;461707;13901,9;N;Y;2;Endereco errado;Y;Y;DR45298;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Cargas Bahia;Salvador;BA;Pelotas;RS;3233;43.5;42.2;6.6
6755;23/01/2024;30/01/2024;01/02/2024;7;5;5;0;373180;912,5;N;Y;1;;N;Y;DR45295;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;Log Elite;Campinas;SP;Vitoria;ES;365;4.8;5.0;7.0
1686;11/01/2024;14/01/2024;14/01/2024;3;2;2;0;3663618;14208;Y;N;0;;N;Y;DR45309;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP;Vitoria;ES;1776;25.6;23.1;7.1
3874;30/01/2024;02/02/2024;03/02/2024;3;2;1;1;3366271;10788;N;Y;1;Endereco errado;Y;N;DR45322;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;RodaFirme Transportes;Manaus;AM;Fortaleza;CE;1798;22.6;22.8;7.6
8331;29/01/2024;02/02/2024;02/02/2024;4;7;7;0;478237;14915;Y;N;0;;N;N;DR45294;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Cargas Bahia;Salvador;BA;Ribeirao Preto;SP;2983;39.7;39.4;2.3
4634;06/01/2024;11/01/2024;11/01/2024;5;9;9;0;849348;2588,6;Y;N;0;;N;Y;DR45300;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP;Joinville;SC;602;9.8;8.9;6.1
6247;18/01/2024;25/01/2024;25/01/2024;7;9;9;0;602175;1505;Y;N;0;;N;Y;DR45314;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;Log Elite;Campinas;SP;Aracaju;SE;602;9.8;8.9;6.1
5364;29/01/2024;04/02/2024;04/02/2024;6;1;1;0;4217303;23864;Y;N;0;;N;Y;DR45321;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Cargas Bahia;Salvador;BA; Marilia;SP;2983;39.7;39.4;2.3
8821;29/01/2024;03/02/2024;03/02/2024;5;6;6;0;2818261;17898;Y;N;0;;N;N;DR45317;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Cargas Bahia;Salvador;BA;Ponta Grossa;PR;2983;39.7;39.4;2.3
1325;29/01/2024;02/02/2024;02/02/2024;4;1;1;0;777180;3010;Y;N;0;;N;N;DR45303;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Log Elite;Campinas;SP;Sao Luis;MA;602;9.8;8.9;6.1
5366;01/01/2024;06/01/2024;06/01/2024;5;1;1;0;844476;2588,6;Y;N;0;;N;Y;DR45320;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP;Maceio;AL;602;9.8;8.9;6.1
9548;17/01/2024;23/01/2024;26/01/2024;6;2;2;0;453351;1505;N;Y;1;;N;Y;DR90594;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;ExpressCargo;Campinas;SP;Joao Pessoa;PB;602;9.8;8.9;6.1
9205;26/01/2024;30/01/2024;04/02/2024;4;10;9;1;3872099;4816;N;Y;1;Pedido incorreto;Y;Y;DR90628;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP; Sao Paulo;SP;602;9.8;8.9;6.1
1247;17/01/2024;21/01/2024;21/01/2024;4;6;6;0;4088671;3612;Y;N;0;;N;N;DR90618;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Log Elite;Campinas;SP;Cuiaba;MT;602;9.8;8.9;6.1
8918;19/01/2024;23/01/2024;23/01/2024;4;10;10;0;840007;14915;Y;N;0;;N;N;DR90626;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Cargas Bahia;Salvador;BA;Florianopolis;SC;2983;39.7;39.4;2.3
2998;07/01/2024;11/01/2024;14/01/2024;4;8;3;5;719076;12826,9;N;Y;2;Produto danificado;Y;Y;DR90598;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Cargas Bahia;Salvador;BA;Recife;PE;2983;39.7;39.4;2.3
8149;02/01/2024;06/01/2024;06/01/2024;4;3;3;0;807500;1505;Y;N;0;;N;Y;DR90592;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;ExpressCargo;Campinas;SP;Uberlandia;MG;602;9.8;8.9;6.1
4429;29/01/2024;31/01/2024;02/02/2024;2;9;5;4;2989426;4816;N;Y;1;Endereco errado;Y;Y;DR90586;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP;Joao Pessoa;PB;602;9.8;8.9;6.1
9651;21/01/2024;27/01/2024;01/02/2024;6;9;4;5;4238538;3612;N;Y;1;Pedido incorreto;Y;N;DR90614;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Log Elite;Campinas;SP;Goiania;GO;602;9.8;8.9;6.1
1424;19/01/2024;22/01/2024;22/01/2024;3;6;6;0;825366;3010;Y;N;0;;N;N;DR90640;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Log Elite;Campinas;SP; Marilia;SP;602;9.8;8.9;6.1
1528;28/01/2024;02/02/2024;02/02/2024;5;10;10;0;359398;2588,6;Y;N;0;;N;Y;DR90584;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP;Niteroi;RJ;602;9.8;8.9;6.1
7319;22/01/2024;28/01/2024;31/01/2024;6;1;1;0;397486;7457,5;N;Y;1;;N;Y;DR90596;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;ExpressCargo;Salvador;BA;Santa Maria;RS;2983;39.7;39.4;2.3
2632;18/01/2024;25/01/2024;26/01/2024;7;3;3;0;4039494;14384;N;Y;1;;N;Y;DR90624;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;RodaFirme Transportes;Manaus;AM;Santos;SP;1798;22.6;22.8;7.6
6712;09/01/2024;11/01/2024;11/01/2024;2;5;5;0;3147486;3612;Y;N;0;;N;Y;DR90638;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Log Elite;Campinas;SP;Brasilia;DF;602;9.8;8.9;6.1
6373;24/01/2024;26/01/2024;26/01/2024;2;5;5;0;659854;3010;Y;N;0;;N;Y;DR90630;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Log Elite;Campinas;SP;Sao Luis;MA;602;9.8;8.9;6.1
5779;29/01/2024;04/02/2024;04/02/2024;6;4;4;0;328676;2588,6;Y;N;0;;N;N;DR90602;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP;Ponta Grossa;PR;602;9.8;8.9;6.1
4189;26/01/2024;01/02/2024;01/02/2024;6;9;9;0;367377;1505;Y;N;0;;N;N;DR90636;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;Log Elite;Campinas;SP;Juiz de Fora;MG;602;9.8;8.9;6.1
4462;17/01/2024;19/01/2024;19/01/2024;2;1;1;0;2575829;4816;Y;N;0;;N;Y;DR90610;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP;Belem;PA;602;9.8;8.9;6.1
6608;20/01/2024;24/01/2024;25/01/2024;4;4;3;1;3406996;10788;N;Y;1;Endereco errado;Y;Y;DR45312;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;RodaFirme Transportes;Manaus;AM;Sorocaba;SP;1798;22.6;22.8;7.6
3898;15/01/2024;22/01/2024;25/01/2024;7;4;2;2;738335;3010;N;Y;1;Produto danificado;Y;Y;DR45297;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Log Elite;Campinas;SP;Belem;PA;602;9.8;8.9;6.1
4632;31/01/2024;03/02/2024;03/02/2024;3;10;10;0;314322;12826,9;Y;N;0;;N;N;DR45305;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Cargas Bahia;Salvador;BA;Uberlandia;MG;2983;39.7;39.4;2.3
8116;10/01/2024;15/01/2024;15/01/2024;5;9;9;0;950590;4495;Y;N;0;;N;N;DR45308;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;RodaFirme Transportes;Manaus;AM;Ribeirao Preto;SP;1798;22.6;22.8;7.6
8711;02/01/2024;08/01/2024;08/01/2024;6;4;4;0;4410140;4816;Y;N;0;;N;Y;DR45319;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP;Brasilia;DF;602;9.8;8.9;6.1
3650;06/01/2024;13/01/2024;13/01/2024;7;8;8;0;3983114;17898;Y;N;0;;N;Y;DR45323;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Cargas Bahia;Salvador;BA;Santa Maria;RS;2983;39.7;39.4;2.3
3381;24/01/2024;29/01/2024;29/01/2024;5;1;1;0;315381;8990;Y;N;0;;N;Y;DR45318;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;RodaFirme Transportes;Manaus;AM;Ribeirao Preto;SP;1798;22.6;22.8;7.6
6155;16/01/2024;23/01/2024;23/01/2024;7;1;1;0;446989;2588,6;Y;N;0;;N;Y;DR45324;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP; Marilia;SP;602;9.8;8.9;6.1
7501;23/01/2024;27/01/2024;01/02/2024;4;10;10;0;425496;4495;N;Y;1;;N;N;DR45310;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;RodaFirme Transportes;Manaus;AM;Ribeirao Preto;SP;1798;22.6;22.8;7.6
9062;27/01/2024;02/02/2024;05/02/2024;6;5;1;4;4654315;4816;N;Y;1;Pedido incorreto;Y;N;DR45313;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP;Campo Grande;MS;602;9.8;8.9;6.1
1731;08/01/2024;14/01/2024;14/01/2024;6;7;7;0;3781911;3612;Y;N;0;;N;Y;DR45296;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Log Elite;Campinas;SP;Belem;PA;602;9.8;8.9;6.1
1316;27/01/2024;02/02/2024;05/02/2024;6;7;6;1;449300;14915;N;Y;1;Endereco errado;Y;Y;DR45302;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Cargas Bahia;Salvador;BA;Belo Horizonte;MG;2983;39.7;39.4;2.3
6843;05/01/2024;11/01/2024;11/01/2024;6;1;1;0;293411;2588,6;Y;N;0;;N;Y;DR45304;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP;Bauru;SP;602;9.8;8.9;6.1
